User,Comment,Date,Comment_ID,User_Tagging,User_Tagging_Link
Wahayu Adi Wicaksono,"Money is not everything, but everything requires money 🤔",Jul/4/19 4,2332927977022709,,
Jonathon Holley,"I think its more accurate to say money can buy comfort, but not necessarily happiness. Happiness isn't a solid thing, it varies from person to person. For some, having more money would make them happiest, but for others its not the lack of money that makes them unhappy. Its a nebulous thing that can't be easily defined one way or another. Good post otherwise though and many good points.",Jul/21/19 21,2345370099111830,,
Daniel Helven Sjin,"Money isn't everything, but it sure can solve most problem",Jul/2/19 2,2331364713845702,,
Boon Kiong Loh,If no money you will face many problems....and if you do have money you will not have worry.But have to make full use it.😂,Jul/2/19 2,2331556800493160,,
Alan Wong,"Great post, full of wisdom!",Jul/2/19 2,2331369567178550,,
Rhins Kinatadcan,"So, yeah! we need money in every aspect!!! if u can't buy happiness try it to transfer in my account 😂 ooops! I forgot I don't have an account. I'm just poor with a rich heart hehehe",Sep/11/19 11,2384278775220962,,
Miro Yuuzuki,Belinda we were just talking about this ytd QwQ although this is more in-depth,Jul/2/19 2,2331035633878610,Belinda,/blendyblenders?refid=52&ref=104&__tn__=R
Joshua Paul Gaces,I wanna work hard and be well-off so that I can buy you all the fenty beauty that you want Kristina Monarc Cabral 😊  plus having a persians cat would be costly hahaha,Aug/11/19 11,2360659254249581,Kristina Monarc Cabral,/kristinaprym?refid=52&ref=104&__tn__=R
Leong Sen Ching,Jie Xin can u finally get it?,Jul/2/19 2,2331300687185438,Jie Xin,/jasom.ng.5?refid=52&ref=104&__tn__=R
Ahmad Aizuddin,Siti Zakiah Zakaria all the financial logic you ever need from me is right here,Jul/1/19 1,2330893050559535,Siti Zakiah Zakaria,/siti.z.zachariah?refid=52&ref=104&__tn__=R
Mabs Sugui Fantone,Dianne Marie When u’re old u realize this makes a lot of sense,Jul/3/19 3,2332073633774810,Dianne Marie,/dianne.delima.1?refid=52&ref=104&__tn__=R
Hatashi Inami,"yeah ikr. money is my happiness :"")",Jul/2/19 2,2331477057167801,,
Ram Kumar,Ameilia Faustina Saba this is what I have been telling you for centuries.,Jul/21/19 21,2345544139094426,Ameilia Faustina Saba,/Ameilia.Faustina?refid=52&ref=104&__tn__=R
محمد نجيب,Many can buy happiness just if you think so but it can't just if you think so,Jul/3/19 3,2331991593783014,,
Riyanti Seira,no no it doesn't work like that human are creature that can't hear thing like this,Jul/3/19 3,2331828057132701,,
Christophorus Kevin Santoso,Wendy Yeung sums it all up ;p,Jul/3/19 3,2332244760424364,Wendy Yeung,/wendy8yeung?refid=52&ref=104&__tn__=R
Nick Tan,"Really enjoying your stuff, keep it up!",Aug/17/19 17,2365137103801796,,
Yeong Chen Shin,Shahrin Toretto Clark we need to start putting a price tag on happiness soon,Jul/2/19 2,2331267493855424,Shahrin Toretto Clark,/dom.torreto88?refid=52&ref=104&__tn__=R
Austin Macintyre,Lmaooooo money is life,Jul/4/19 4,2333172433664930,,
Sandy Darma,The message is strong 👍👍👍 good job,Jul/4/19 4,2332665600382280,,
Benji Woon,Amelia Kan first person that I thought about when I see the word 'wOkE',Jul/1/19 1,2330941183888055,Amelia Kan,/ameliakyw?refid=52&ref=104&__tn__=R
Margareth Mendiola,Whatever it is . i still hate money. Were just working to earn it because we don't have a choice. Because we are human.,Jul/5/19 5,2333537563628417,,
Thang Phan,Trần Huy Anh just like you,Jul/4/19 4,2332970067018500,Trần Huy Anh,/danny.trha?refid=52&ref=104&__tn__=R
Mitrah Silvom,ArulBharathi this ❤️,Jul/2/19 2,2331245607190946,ArulBharathi,/charuhalini?refid=52&ref=104&__tn__=R
Fabio Cabral,Money helps Nino Valera,Jul/2/19 2,2331621917153315,Nino Valera,/nino.valera?refid=52&ref=104&__tn__=R
Dianne Nicole Crisologo Dominguez,Patricia Pearl L. Dantic our point,Jul/2/19 2,2331729470475893,Patricia Pearl L. Dantic,/ppearlasngsilangan?refid=52&ref=104&__tn__=R
Kim Richard,Ryan Edmands omfg read this,Jul/20/19 20,2344961265819380,Ryan Edmands,/FacelessEdge?refid=52&ref=104&__tn__=R
Franz Bartolome,Ike Abad Gelli Ann Castle Gerard Tabulinar Ibuyat Nick Paul Cristobal Love Sihkya worth reading 😊,Jul/3/19 3,2332365270412313,"Ike Abad, Gelli Ann Castle, Gerard Tabulinar Ibuyat, Nick Paul Cristobal, Love Sihkya","/ikeabad.25?refid=52&ref=104&__tn__=R, /liann.castle?refid=52&ref=104&__tn__=R, /gerard.ibuyat?refid=52&ref=104&__tn__=R, /nickpaul03?refid=52&ref=104&__tn__=R, /ianlove.lazarte?refid=52&ref=104&__tn__=R"
JJ Garcia,Greta Barredo  Yes,Jul/3/19 3,2331934470455393,Greta Barredo,/greththeschizo?refid=52&ref=104&__tn__=R
Annette Neo,Tan Ying Ying I love this!,Jul/4/19 4,2332793083702865,Tan Ying Ying,/ying02?refid=52&ref=104&__tn__=R
Prince,This is great!,Jul/2/19 2,2331233090525531,,
Joseph Rem Dela Cruz,Issa Lota Very important stuff 😃,Jul/2/19 2,2331463300502510,Issa Lota,/IssaIsPretty?refid=52&ref=104&__tn__=R
Gali Viaña,Makes sense,Jul/3/19 3,2332193913762782,,
Ashwin Vignesh,Good one,Aug/1/19 1,2353494708299369,,
Jurea Enad,I just felt the need to tag you on this Demi Bernice hehe,Jul/5/19 5,2333390180309822,Demi Bernice,/demieslit?refid=52&ref=104&__tn__=R
Max Isaías Baldeón,Bullshit!,Jul/2/19 2,2331474587168048,,
Michael Tran,"Lucy R Wu I love this bloke, speaks my soul",Jul/21/19 21,2345720129076827,Lucy R Wu,/pandabasher?refid=52&ref=104&__tn__=R
Mario Wongso,Midnight thoughts supply Marisa Lyana,Jul/2/19 2,2331051913876982,Marisa Lyana,/Marisa.Lyanaa?refid=52&ref=104&__tn__=R
Ted Lim,Bullshit,Jul/2/19 2,2331407820508058,,
Bryan John Alberto,Mary Rose Alberto either make more money or be happier with less.,Jul/2/19 2,2331297423852431,Mary Rose Alberto,/maryrosegalberto?refid=52&ref=104&__tn__=R
Michel Li,Phuc my point exactly,Jul/4/19 4,2332973017018205,Phuc,/profile.php?id=770470773&refid=52&ref=104&__tn__=R
James Conti,Sasha Karabut long post but sooo good 💯,Jul/7/19 7,2335297846785722,Sasha Karabut,/sasha.karabut.5?refid=52&ref=104&__tn__=R
Simon Lock,ZG Ong Go read everything,Jul/3/19 3,2332368430411997,ZG Ong,/Zher.G.Ong?refid=52&ref=104&__tn__=R
Sylvia Quek,Edwin Ngiam this was what i was trying to say that time hahah,Jul/4/19 4,2332627763719397,Edwin Ngiam,/edwin.ngiam?refid=52&ref=104&__tn__=R
Diane Le,Ellice Wang interesting hot take,Jul/4/19 4,2333022253679948,Ellice Wang,/ellice.wang.7?refid=52&ref=104&__tn__=R
Justin Jaring,Krisha i wanted to tag ur bruder,Aug/18/19 18,2366144993701007,Krisha,/krishajaring?refid=52&ref=104&__tn__=R
Nico Franz,Macy good read!,Jul/3/19 3,2332555853726588,Macy,/macy.valdez?refid=52&ref=104&__tn__=R
Kenneth John Domalaon,Cheri got a point there,Jul/3/19 3,2332517770397063,Cheri,/krysleencheri.bravo?refid=52&ref=104&__tn__=R
Lance Urbano,It makes sense Cy Fabula,Jul/8/19 8,2336175883364585,Cy Fabula,/cyril.fabula?refid=52&ref=104&__tn__=R
Adrian Chan,Kimberly Law lmao nah take notes,Jul/2/19 2,2331318267183680,Kimberly Law,/kimberlylawlaw?refid=52&ref=104&__tn__=R
Ash,a good read Dino Lucero.,Jul/10/19 10,2337234379925402,Dino Lucero,/dino.lucero.77?refid=52&ref=104&__tn__=R
Miggy Azurin,Bianca Cruz I love this!,Aug/10/19 10,2359848010997372,Bianca Cruz,/biancacruz05?refid=52&ref=104&__tn__=R
Gino Eufronio Ferrer Morgia,Mariah Ariem Torreon bb lab awa good point 😊,Jul/3/19 3,2332214780427362,Mariah Ariem Torreon,/mariahariemtorreon?refid=52&ref=104&__tn__=R
Meninder Kaur,Rana Atinder Sidhu this blog is amazing,Jul/2/19 2,2331537623828411,Rana Atinder Sidhu,/rana.a.sidhu?refid=52&ref=104&__tn__=R
ManHim Chow,Mandy Leow what i have been advocating all these while.,Aug/13/19 13,2362175654097941,Mandy Leow,/MandyLeowHooiVuan?refid=52&ref=104&__tn__=R
Roxana Mendez Alvarado,Fernando stay woke,Jul/22/19 22,2346425832339590,Fernando,/ferni.mendez.5?refid=52&ref=104&__tn__=R
Davide Manieri,Tommaso Colantuono capitalism.,Jul/3/19 3,2332392727076234,Tommaso Colantuono,/tommaso.colantuono.37?refid=52&ref=104&__tn__=R
Nina Quejada,Mika Robert Fallar our convo,Jul/2/19 2,2331525523829621,Mika Robert Fallar,/mika.fallar?refid=52&ref=104&__tn__=R
Carlos Luigi Dela Cruz,Daniel Padua Makes sense,Jul/2/19 2,2331579390490901,Daniel Padua,/paduadaniel?refid=52&ref=104&__tn__=R
LA Cadsawan,Karla Rose Miranda Reyes please read hehe,Jul/6/19 6,2334431440205696,Karla Rose Miranda Reyes,/alrak.seyer?refid=52&ref=104&__tn__=R
Winson Ng,Nat Lin so true,Jul/2/19 2,2331291683853005,Nat Lin,/profile.php?id=684544806&refid=52&ref=104&__tn__=R
Elmer Loy,Jelyka Loy good read,Jul/3/19 3,2332275040421336,Jelyka Loy,/JelykaJ?refid=52&ref=104&__tn__=R
Leo Castillo,Paula Peralta look!,Jul/4/19 4,2332774533704720,Paula Peralta,/mecaelapaula?refid=52&ref=104&__tn__=R
Lara Griño Lucero,"Read this, Mj Francisco JaDe Francisco",Jul/5/19 5,2333725563609617,"Mj Francisco, JaDe Francisco","/mj.francisco.543?refid=52&ref=104&__tn__=R, /jade.e.francisco.37?refid=52&ref=104&__tn__=R"
Victoria Ling,Ashley Ling Amos Ling Valerie Ling  Reference for essay😂,Jul/7/19 7,2335500490098791,"Ashley Ling, Amos Ling, Valerie Ling","/profile.php?id=100012933577251&refid=52&ref=104&__tn__=R, /profile.php?id=100008187455223&refid=52&ref=104&__tn__=R, /valerie.ling.3?refid=52&ref=104&__tn__=R"
Lara L. Antonio,Omg what we talk abt Ciary Manhit,Oct/17/19 17,2416300052018834,Ciary Manhit,/ciary.manhit?refid=52&ref=104&__tn__=R
Rae Guiao,Samantha Seikai Vitocruz HAHAHAHAHAHA OMG,Jul/4/19 4,2332616173720556,,
Dianna Alexa Magan,Hi Mikko Cruz,Jul/3/19 3,2332545727060934,Mikko Cruz,/mikkocruzzz?refid=52&ref=104&__tn__=R
Tom Chan,Joe Ern Shing Yuen Stay woke.,Jul/21/19 21,2345604535755053,"Joe Ern, Shing Yuen","/JoeErn?refid=52&ref=104&__tn__=R, /tan.s.yuen?refid=52&ref=104&__tn__=R"
Tammy Kho,Samuel Tan truth,Jul/4/19 4,2332788577036649,Samuel Tan,/samuel.tan.1441?refid=52&ref=104&__tn__=R
Jessica Lai,Jun Wen okay,Jul/27/19 27,2349813358667504,Jun Wen,/junwen.phua?refid=52&ref=104&__tn__=R
Marken Ong,Ee-Jef Yeoh Joshua Lim Joel Lee Zhen Ern MANI = PENIS,Aug/13/19 13,2362409360741237,"Ee-Jef Yeoh, Joshua Lim, Joel Lee Zhen Ern","/Maganeh?refid=52&ref=104&__tn__=R, /joshualimwenliang?refid=52&ref=104&__tn__=R, /joel.lee.ZE?refid=52&ref=104&__tn__=R"
